title,name,body,tag,rating1,rating2,rating3,rating4
Kant on the Cosmological Argument,Ian Proops,"In the first Critique Kant levels two main charges against the cosmological argument. First, it commits the fallacy of ignoratio elenchi. Second, in two rather different ways, it presupposes the ontological argument. Commentators have struggled to find merit in either of these charges. The paper argues that they can nonetheless be shown to have some merit, so long as one takes care to correctly identify the version of the cosmological argument that Kant means to be attacking. That turns out to be a charitably modified version of the argument run by Christian Wolff. Having described Kant’s target argument, the paper goes on to explicate his criticisms and to weigh their merits.",,,,,
Colour layering and colour constancy,Derek H. Brown,"Loosely put, colour constancy for example occurs when you experience a partly shadowed wall to be uniformly coloured, or experience your favourite shirt to be the same colour both with and without sunglasses on. Controversy ensues when one seeks to interpret ‘experience’ in these contexts, for evidence of a constant colour may be indicative a constant colour in the objective world, a judgement that a constant colour would be present were things thus and so, et cetera. My primary aim is to articulate a viable conception of Present Constancy, of what occurs when a constant colour is present in experience, despite the additional presence of some experienced colour variation (e.g., correlating to a change in illumination). My proposed conception involves experienced colour layering – experiencing one opaque colour through another transparent one – and in particular requires one of those experienced layers to remain constant while the other changes. The aim is not to propose this layering conception of colour constancy as the correct interpretation of all constancy cases, but rather to develop the conception enough to demonstrate how it could and plausibly should be applied to various cases, and the virtues it has over rivals. Its virtues include a seamless application to constancy cases involving variations in filters (e.g., sunglasses) and illuminants; its ability to accommodate experiences of partial colours and error-free interpretations of difficult cases; and its broad theoretical-neutrality, allowing it to be incorporated into numerous perceptual epistemologies and ontologies. If layered constancy is prevalent, as I suspect it is, then our experiential access to colours is critically nuanced: we have been plunged into a world of colour without being told that we will rarely, if ever, look to a location and experience just one of them.",,,,,
Assurance and Warrant,Edward S. Hinchman,"Previous assurance-theoretic treatments of testimony have not adequately explained how testimonial warrant depends specifically on the speaker’s mode of address – making it natural to suspect that the interpersonal element is not epistemic but merely psychological or action-theoretic. I aim to fill that explanatory gap: to specify exactly how a testifier’s assurance can create genuine epistemic warrant. In doing so I explain (a) how the illocutionary norm governing the speech act proscribes not lies but a species of bullshit, in an extension of Harry Frankfurt’s sense, (b) how that norm makes testimony fully second-personal, in Stephen Darwall’s sense, or bipolar, in Michael Thompson’s sense, and (c) how that species of second-personality or bipolarity is more fundamental than the practical species that Darwall and Thompson discuss. One attraction of this new Assurance View of testimony is that it allows us to reconceptualize the natures of normativity and responsibility more generally, viewing the assurance as implicating us in normative relations of recognition, and therefore of justice, that are not yet moralized with reactive attitudes.",,,,,
Disagreement about Disagreement? What Disagreement about Disagreement?,Alex Worsnip,"Disagreement is a hot topic in epistemology. A fast-growing literature centers around a dispute between the ‘steadfast’ view, on which one may maintain one’s beliefs even in the light of disagreement with epistemic peers who have all the same evidence, and the ‘conciliationist’ view, on which such disagreement requires a revision of attitudes. In this paper, however, I argue that there is less separating the main rivals in the debate about peer disagreement than is commonly thought. The extreme versions of both views are clearly indefensible, while more moderate versions of the views converge on the idea that how much revision of belief is called for by an instance of peer disagreement varies from case to case. Those tempted by this diagnosis are sometimes pessimistic about the prospects for giving a unified account which clearly predicts when more or less extensive revisions will be called for. By contrast, in this paper I give an account that aspires to such unity and predictive power, centering on the notion of the net resilience of your estimate of your own reliability against your estimate of your interlocutor’s reliability. The view I present thus amounts to a new, moderate theory of how one should respond to disagreement. I argue that ultimately, when we weaken conciliationism and the steadfast view to account for exception cases and to make them adequately plausible, they end up converging on the moderate view I present. Much of the seeming disagreement about disagreement is, then, illusory.",,,,,
Semantics and the Plural Conception of Reality,Salvatore Florio,"According to the singular conception of reality, there are objects and there are singular properties, i.e. properties that are instantiated by objects separately. It has been argued that semantic considerations about plurals give us reasons to embrace a plural conception of reality. This is the view that, in addition to singular properties, there are plural properties, i.e. properties that are instantiated jointly by many objects. In this article, I propose and defend a novel semantic account of plurals which dispenses with plural properties and thus undermines the semantic argument in favor of the plural conception of reality.",,,,,
Keeping the Shutters Closed: The Moral Value of Reserve,Karen Stohr,"In this paper I defend a little noted claim of Kant’s — that we should “keep the shutters closed” on our flaws and failings. Kant’s own arguments for this claim aren’t fully satisfactorily, and they rest primarily on pragmatic considerations. My aim in this paper is to provide a more robust Kantian-inspired argument for the moral value of reserve. I argue that collaborating with others to keep the shutters closed on our individual and collective flaws aids in the difficult task of building and maintaining moral community among morally frail and flawed human beings. The paper consists of three parts. In Part I, I examine what Kant himself says about reserve. In Part II, I present a Kantian-inspired argument for the moral value of reserve, drawing on sociologist Erving Goffman’s concept of a front. Moral fronts, I argue, contribute to the fulfillment of the Kantian duties of moral self-improvement and beneficence. To put it differently, they help us instantiate the kingdom of ends in a world of imperfect human beings. In Part III, I address three objections to my argument: that fronts are deceptive, that they actually interfere with moral self-improvement, and that they preclude morally valuable forms of intimacy. I argue that my account can accommodate these concerns.",,,,,
Hume’s Treatment of Denial in the Treatise,Lewis Powell,"David Hume fancied himself the Newton of the mind, aiming to reinvent the study of human mental life in the same way that Newton had revolutionized physics. And it was his view that the novel account of belief he proposed in his Treatise of Human Nature was one of that work’s central philosophical contributions. From the earliest responses to the Treatise forward, however, there was deep pessimism about the prospects for his account. It is easy to understand the source of this pessimism: The constraints he employed in theorizing stem from his Newtonian ambitions. Constraints such as his copy principle and his decision to rely only on variations in “force and vivacity” for differentiating types of mental states severely limit his available explanatory resources. However, it is one thing to regard an account as untenable, and quite another to understand where it fails. In this paper, I focus on one long-standing objection to Hume’s account — the objection that Hume cannot offer an account of negative belief or denial — as presented by Hume’s contemporary Thomas Reid, as well as more recently by Barry Stroud, and defend Hume from this objection. I argue that Hume both should and does endorse an account of negative belief based in relations of contrariety between contents, rather than between mental activities, and survey the different options available to Hume for spelling out an account of contrary contents.",,,,,
Causal contribution and causal exclusion,Marc Johansen,"Causation is extrinsic. What an event causes depends not just on its own nature and the laws, but on the environment in which it occurs. Had an event occurred under different conditions, it may have had different effects. Yet we often want to say that causation, in at least some respect, is not extrinsic. Events exert an influence on the world themselves, independently of what other events do or do not occur in their surroundings. This paper develops an account of such influence and argues that it provides a solution to the causal exclusion problem. By locating that solution largely within the metaphysics of causation, we can solve the exclusion problem without taking on a commitment to a theory of mind.",,,,,
Deference Done Right,"Richard Pettigrew, Michael G. Titelbaum","There are many kinds of epistemic experts to which we might wish to defer in setting our credences. These include: highly rational agents, objective chances, our own future credences, our own current credences, and evidential (or logical) probabilities. But exactly what constraint does a deference requirement place on an agent's credences? In this paper we consider three answers, inspired by three principles that have been proposed for deference to objective chances. We consider how these options fare when applied to the other kinds of epistemic experts mentioned above. Of the three deference principles we consider, we argue that two of the options face insuperable difficulties. The third, on the other hand, fares well|at least when it is applied in a particular way.",,,,,
Touch Without Touching,Matthew Fulkerson,"In this paper, I argue that in touch, as in vision and audition, we can and often do perceive objects and properties even when we are not in direct or even apparent bodily contact with them. Unlike those senses, however, touch experiences require a special kind of mutually interactive connection between our sensory surfaces and the objects of our experience. I call this constraint the Connection Principle. This view has implications for the proper understanding of touch, and perceptual reference generally. In particular, spelling out the implications of this principle yields a rich and compelling picture of the spatial character of touch.",,,,,
Why Lewis’s analysis of modality succeeds in its reductive ambitions.,Ross P. Cameron,"Some argue that Lewisian realism fails as a reduction of modality because in order to meet some criterion of success the account needs to invoke primitive modality. I defend Lewisian realism against this charge; in the process, I hope to shed some light on the conditions of success for a reduction. In §1 I detail the resources the Lewisian modal realist needs. In §2 I argue against Lycan and Shalkowski’s charge that Lewis needs a modal notion of ‘world’ to ensure that worlds correspond to possibilities. In §3 I respond to Divers and Melia’s objection that Lewis needs to invoke primitive modality to give a complete account of what worlds there are. In §4 I ask what it is for a notion to ‘involve’ modality. I conclude that the question is either in bad standing or at best offers little traction on the debate, and propose a different way of assessing when materials are appropriately included in a reductive base.",,,,,
Inner and Outer Truth,Iris Einheuser,"Kit Fine and Robert Adams have independently introduced a distinction between two ways in which a proposition might be true with respect to a world. A proposition is true at a world if it correctly represents the world. A proposition is true in a world, if it exists in that world and correctly represents it. In this paper, I clarify this distinction between outer and inner truth, defend it against recent charges of unintelligibly and argue that outer truth tracks counterfactual possibility while inner truth tracks counter-actual possibility. This connection allows us to clarify the relationship between possibility, possible actuality and the thesis of serious actualism, which is the thesis that nothing could have had a property without existing. I show that this undermines serious actualists' scruples against reading sentences like `Even if Socrates had not existed, he might have' as expressing true and genuinely de re propositions about Socrates. More generally, the connection I draw provides the serious actualist with a justification for treating actually existing but contingent objects differently from how he treats merely possible objects.",,,,,
What do We Say When We Say How or What We Feel?,Berit Brogaard,"Discourse containing the verb ‘feel’, almost without exception, purports to describe inner experience. Though this much is evident, the question remains what exactly is conveyed when we talk about what and how we feel? Does discourse containing the word ‘feel’ actually succeed in describing the content and phenomenology of inner experience? If so, how does it reflect the phenomenology and content of the experience it describes? Here I offer a linguistic analysis of ‘feels’ reports and argue that a subset of ‘feels’ reports, when accurate, reflect the representational content of emotions, tactile experiences and bodily sensations. Because ‘feels’ reports may reflect the representational content of bodily experience, these types of report may be able to give us some insight into the structure of bodily experience. I argue that our descriptions of bodily experience, on the assumption that they are sometimes accurate, indicate that emotions and tactile experiences are experiences of bodily reactions to objects, whereas bodily sensations are partial descriptions of emotions and tactile experiences or other events of the body. At the end I address the concern that an adequate account of inner experience cannot be given in terms of an analysis of ordinary language.",,,,,
Counterfactuals and the Epistemology of Modality,Thomas Kroedel,"The paper provides an explanation of our knowledge of metaphysical modality, or modal knowledge, from our ability to evaluate counterfactual conditionals. The latter ability lends itself to an evolutionary explanation since it enables us to learn from mistakes. Different logical principles linking counterfactuals to metaphysical modality can be employed to extend this explanation to the epistemology of modality. While the epistemological use of some of these principles is either philosophically implausible or empirically inadequate, the equivalence of ‘Necessarily p’ with ‘For all q, if q were the case, p would be the case’ is a suitable starting-point for an explanation of modal knowledge.",,,,,
The Open Instruction Theory of Attitude Reports and the Pragmatics of Answers,Philipp Koralus,"Reports on beliefs, desires, and other attitudes continue to raise foundational questions about linguistic meaning and the pragmatics of utterance interpretation. There is a strong intuition that an attitude report like ‘John believes that Mary smokes’ can simply convey the singular proposition that the individual Mary is believed by John to have the property of smoking. Yet, there is also a strong intuition that ‘Lois believes that Superman can fly’ can additionally convey how an individual is represented (viz. as a superhero not as a reporter). Cases of this sort can be generated with any name in a suitable context (Kripke 1979). It is far from settled how this should be explained. I propose the Open Instruction Theory (OIT), according to which the linguistic meaning of attitude report sentences consists in instructions to create mental models, where those instructions leave open, depending on the state of the discourse, the possibility of singular interpretations as well as of complex interpretations including information about ways of representing. The account makes precise the idea that attitude report sentences with proper names are semantically nonspecific (Soames 2004), rather than indexical (Schiffer 2000), yielding predictions about syntactic constraints on interpretation. On this view, linguistic meaning itself does not provide determinate propositions. Since Gricean pragmatics requires determinate propositions as input, I propose new principles of pragmatics for literal utterance interpretation that do not require them but remain strongly constrained by linguistic meaning. The core principle is “inference to the most responsive interpretation.” Roughly, among the range of literal interpretations allowed by linguistic meaning, the listener generates the one that most fully answers the background question she seeks to answer by engaging in discourse. The pragmatics of literal utterance interpretation is the pragmatics of interpreting potential answers, even if communicative intention may be more important for conversational implicature. The account predicts cases in which our interpretations differ from what we would take the speaker to have had in mind. Singular interpretations of attitude reports have a special status as default interpretations. I suggest some advantages of OIT over indexicalist, DRT, and free enrichment theories. I argue that to the extent that we have to go beyond a strict principle of linguistic constraint (Stanley 2005), we should aim toward a principle of psychological constraint.",,,,,
Belief and Difficult Action,Berislav Marušić,"Suppose you decide or promise to do something that you have evidence is difficult to do. Should you believe that you will do it? On the one hand, if you believe that you will do it, your belief goes against the evidence—since having evidence that it’s difficult to do it constitutes evidence that it is likely that you won’t do it. On the other hand, if you don’t believe that you will do it but instead believe, as your evidence suggests, that it is likely that you will fail, your decision is not serious and your promise is not sincere. This problem—I call it the Epistemological Problem of Difficult Action—is a pressing philosophical problem that each of us faces. In this paper I consider several possible responses to it. I conclude that the right response is to say that we should believe against the evidence. Cases in which we decide or promise to do something that we have evidence is difficult to do are the best counterexamples to evidentialism.",,,,,
Abstraction and the Origin of General Ideas,"Stephen Laurence, Eric Margolis","Philosophers have often claimed that general ideas or representations have their origin in abstraction, but it remains unclear exactly what abstraction as a psychological process consists in. We argue that the Lockean aspiration of using abstraction to explain the origins of all general representations cannot work and that at least some general representations have to be innate. We then offer an explicit framework for understanding abstraction, one that treats abstraction as a computational process that operates over an innate quality space of fine-grained general representations. We argue that this framework has important philosophical implications for the nativism-empiricism dispute, for questions about the acquisition of unstructured representations, and for questions about the relation between human and animal minds.",,,,,
Have I Turned the Stove Off? Explaining Everyday Anxiety,Neil Levy,"Cases in which we find ourselves irrationally worried about whether we have done something we habitually do (such as turning off the stove) are familiar to most people, but they have received surprisingly little attention in the philosophical literature. In this paper, I argue that available accounts designed to explain superficially similar mismatches between agents’ behavior and their beliefs fail to explain these cases. In the kinds of cases which have served as paradigms for extant accounts, contents are poised to drive behavior in a belief-like way. But the contents of these irrational worries are not poised in a belief-like way. Nor do they cause behavior due to a deficit of rational scrutiny. Rather, these representations cause behavior deviantly: by generating anxiety, which in turn motivates actions aimed at assuaging it.",,,,,
Leibniz and the Veridicality of Body Perceptions,Kenneth L. Pearce,"According to Leibniz's late metaphysics, sensory perception represents to us as extended, colored, textured, etc., a world which fundamentally consists only of non-spatial, colorless entities, the monads. It is a short step from here to the conclusion that sensory perception radically misleads us about the true nature of reality. In this paper, I argue that this oft-repeated claim is false. Leibniz holds that in typical cases of body perception the bodies perceived really exist and have the qualities, both primary and secondary, they are perceived to have. At the same time, Leibniz holds that our perceptions of these bodies are accurate representations of the monads from which the bodies result. The contrary thesis — that our body perceptions are misrepresentations of the monads — stems from a misunderstanding of Leibniz's theory of confused concepts and his phenomenalist account of the nature of body. Clarifying these issues will have important consequences for our understanding of Leibniz's idealistic metaphysics and the manner in which that metaphysical theory is meant to support mechanistic science.",,,,,
Why I Am Not a Likelihoodist,Greg Gandenberger,"Frequentist statistical methods continue to predominate in many areas of science despite prominent calls for ""statistical reform."" They do so in part because their main rivals, Bayesian methods, appeal to prior probability distributions that arguably lack an objective justification in typical cases. Some methodologists find a third approach called likelihoodism attractive because it avoids important objections to frequentism without appealing to prior probabilities. However, likelihoodist methods do not provide guidance for belief or action, but only assessments of data as evidence. I argue that there is no good way to use those assessments to guide beliefs or actions without appealing to prior probabilities, and that as a result likelihoodism is not a viable alternative to frequentism and Bayesianism for statistical reform efforts in science.",,,,,
Computation in Non-Classical Foundations?,"Toby Meadows, Zach Weber","The Church-Turing Thesis is widely regarded as true, because of evidence that there is only one genuine notion of computation. By contrast, there are nowadays many different formal logics, and different corresponding foundational frameworks. Which ones can deliver a theory of computability? This question sets up a difficult challenge: the meanings of basic mathematical terms (like ""set"", ""function"", and ""number"") are not stable across frameworks. While it is easy to compare what different frameworks say, it is not so easy to compare what they mean. We argue for some minimal conditions that must be met if two frameworks are to be compared; if frameworks are radical enough, comparison becomes hopeless. Our aim is to clarify the dialectical situation in this bourgeoning area of research, shedding light on the nature of non-classical logic and the notion of computation alike.",,,,,
Retrospection,Kieran Setiya,"This paper argues from the rationality of nostalgia, affirmation, and regret to a principle of ‘specificity’: it can be rational to respond more strongly to facts that provide us with reasons than to the fact that such reasons exist.",,,,,
Numerical cognition and mathematical realism,Helen De Cruz,"Humans and other animals have an evolved ability to detect discrete magnitudes (numerosities) in their environment. Does this observation support evolutionary debunking arguments against mathematical realism, as has been recently argued by Clarke-Doane, or does it bolster mathematical realism, as authors such as Joyce and Sinnott-Armstrong have assumed? To find out, we need to pay closer attention to the features of evolved numerical cognition. I provide a detailed examination of the functional properties of evolved numerical cognition, and propose that they prima facie favor a realist account of numbers.",,,,,
Does String Theory Posit Extended Simples?,David John Baker,"It is sometimes claimed that string theory posits a fundamental ontology including extended mereological simples, in the form either of minimum-sized regions of space or of the strings themselves. But there is very little in the actual theory to support this claim, and much that suggests it is false. Extant string theories treat space as a continuum, and strings do not behave like simples.",,,,,
A Puzzle for Modal Realism,Dan Marshall,"Modal realists face a puzzle. For modal realism to be justified, modal realists need to be able to give a successful reduction of modality. A simple argument, however, appears to show that the reduction they propose fails. In order to defend the claim that modal realism is justified, modal realists therefore need to either show that this argument fails, or show that modal realists can give another reduction of modality that is successful. I argue that modal realists cannot do either of these things and that, as a result, modal realism is unjustified and should be rejected.",,,,,
An Open and Shut Case: Epistemic Closure in the Manifest Image,John Turri,"The epistemic closure principle says that knowledge is closed under known entailment. The closure principle is deeply implicated in numerous core debates in contemporary epistemology. Closure’s opponents claim that there are good theoretical reasons to abandon it. Closure’s proponents claim that it is a defining feature of ordinary thought and talk and, thus, abandoning it is radically revisionary. But evidence for these claims about ordinary practice has thus far been anecdotal. In this paper, I report five studies on the status of epistemic closure in ordinary practice. Despite decades of widespread assumptions to the contrary in philosophy, ordinary practice is ambivalent about closure. Ordinary practice does not endorse an unqualified version of the epistemic closure principle, although it might endorse a source-relative version of the principle. In particular, whereas inferential knowledge is not viewed as closed under known entailment, perceptual knowledge might be.",,,,,
The Unsolvability of The Quintic: A Case Study in Abstract Mathematical Explanation,Christopher Pincock,"This paper identifies one way that a mathematical proof can be more explanatory than another proof. This is by invoking a more abstract kind of entity than the topic of the theorem. These abstract mathematical explanations are identified via an investigation of a canonical instance of modern mathematics: the Galois theory proof that there is no general solution in radicals for fifth-degree polynomial equations. I claim that abstract explanations are best seen as describing a special sort of dependence relation between distinct mathematical domains. This case study highlights the importance of the conceptual, as opposed to computational, turn of much of modern mathematics, as recently emphasized by Tappenden and Avigad. The approach adopted here is contrasted with alternative proposals by Steiner and Kitcher.",,,,,
Non-Consequentialism Demystified,Howard Nye; David Plunkett; John Ku,"Morality seems important, in the sense that there are practical reasons — at least for most of us, most of the time — to be moral. A central theoretical motivation for consequentialism is that it appears clear that there are practical reasons to promote good outcomes, but mysterious why we should care about non-consequentialist moral considerations or how they could be genuine reasons to act. In this paper we argue that this theoretical motivation is mistaken, and that because many arguments for consequentialism rely upon it, the mistake substantially weakens the overall case for consequentialism. We argue that there is indeed a theoretical connection between good states and reasons to act, because good states are those it is fitting to desire and there is a conceptual connection between the fittingness of a motive and reasons to perform the acts it motivates. But while some of our motives are directed at states, others are directed at acts themselves. We contend that just as the fittingness of desires for states generates reasons to promote the good, the fittingness of these act-directed motives generates reasons to do other things. Moreover, we argue that an act’s moral status consists in the fittingness of act-directed feelings of obligation to perform or avoid performing it, so the connection between fitting motives and reasons to act explains reasons to be moral whether or not morality directs us to promote the good. This, we contend, de-mystifies how there could be non-consequentialist reasons that are both moral and practical.",,,,,
Rationalist Responses to Skepticism: A New Puzzle,Tim Willenken,"Most promising responses to skepticism fall into “Moorean” or “rationalist” camps. Mooreans believe that some apparently circular forms of reasoning allow us to have justification to believe that skeptical hypotheses are false. Rationalists believe that we have a priori justification to believe that skeptical hypotheses are false. It can seem that anti-skeptics are stuck choosing between fishy circular reasoning and mysterious a priori justification. I present a new difficulty for rationalism by focusing on skeptical scenarios wherein our faculties of a priori reasoning are untrustworthy. In dealing with these scenarios, rationalists end up having to embrace the same sorts of circular reasoning that Mooreans use to deal with more familiar skeptical scenarios. As a result, there is no viable diagnosis of what's wrong with Moorean reasoning that does not also apply to rationalism: both anti-skeptical approaches are in the same boat when it comes to embracing circular reasoning.",,,,,
A Decision Theory for Imprecise Probabilities,Susanna Rinard,"Those who model doxastic states with a set of probability functions, rather than a single function, face a pressing challenge: can they provide a plausible decision theory compatible with their view? Adam Elga (2010) and others claim that they cannot, and that the set of functions model should be rejected for this reason. This paper aims to answer this challenge. The key insight is that the set of functions model can be seen as an instance of the supervaluationist approach to vagueness more generally. We can then generate our decision theory by applying the general supervaluationist semantics to decision-theoretic claims. The result: if an action is permissible according to all functions in the set, it’s determinately permissible; if impermissible according to all, determinately impermissible; and – crucially – if permissible according to some, but not all, it’s indeterminate whether it’s permissible. This proposal handles with ease some difficult cases (including one from Elga (2010)) on which alternative decision theories falter. One reason this view has been overlooked in the literature thus far is that all parties to the debate presuppose that an acceptable decision theory must classify each action as either permissible or impermissible. But I will argue that this thought is misguided. Seeing the set of functions model as an instance of supervaluationism provides a compelling motivation for the claim that there can be indeterminacy in the rationality of some actions.",,,,,
Aristotle on Actions from Lack of Control,Jozef Müller,"The paper defends three claims about Aristotle’s theory of uncontrolled (akratic) actions in NE 7.3. First, I argue that the first part of NE 7.3 (1146b30-47a24) contains the description of the overall state of mind of the agent while she acts without control. Aristotle’s solution to the problem of uncontrolled action lies in the analogy between the uncontrolled agent and people who are drunk, mad, or asleep. This analogy is interpreted as meaning that the uncontrolled agent, while acting without control, is still in possession of her knowledge (and so she can make use of what she knows) but she is unable to use it as knowledge due to the temporary disablement of her reason by appetite. Due to this disablement, the uncontrolled agent is temporarily unable to be motivated to act by her knowledge and acts merely on her appetite. Second, I argue that the second part of NE 7.3 (1147a25-b5) provides an analysis of the particular mental state from which the uncontrolled action issues. Its central passage (1147a31-5) is a description of the uncontrolled agent’s state of mind before the uncontrolled action and not, as it has been traditionally understood, a description of her state of mind during the uncontrolled action. Third, I argue that, on Aristotle’s view, the transition from the state before the uncontrolled action to the state in which the agent already acts without control does not involve any psychological state that would constitute the agent’s choice to abandon her decision and give in to her desires but proceeds on a purely physiological level.",,,,,
“Inner Perception Can Never Become Inner Observation”: Brentano on Awareness and Observation,Mark Textor,"Self-representational theories of consciousness hold that a mental phenomenon is conscious if, and only if, it presents, among other things, itself. But in conscious perception one may lose oneself in the object perceived and not be aware of one’s perceiving. The paper develops a Brentano-inspired response to this objection. He follows Aristotle in holding that one is aware of one’s perceiving only ‘on the side’: when one perceives something one’s perception neither is nor can become observation of itself. I argue that the arguments Brentano gave for this claim in Psychology from an Empirical Standpoint are wanting. However, a promising argument emerges if one takes Brentano’s conception of noticing into account.",,,,,
Logic and the Laws of Thought,Jessica Leech,"An approach to explaining the nature and source of logic and its laws with a rich historical tradition (particularly Kant and Frege) takes the laws of logic to be laws of thought. This view seems intuitively compelling, after all, logic seems to be intimately related with how we think. But how exactly should we understand it? And what arguments can we give in favour? I will propose one line of argument for the claim that the laws of logic are laws of thought. I will motivate the claim that there is a certain phenomenon, namely, that there are logical principles which are immune to rational doubt. I will then give an argument to the best explanation; I will argue that the best explanation of this phenomenon is to take the laws of logic to be constitutive-normative laws of thought. The proposal, and some responses to potential objections, will have a notably Kantian flavour.",,,,,
Spinoza on Extension,Alison Peterman,"This paper argues that Spinoza does not take extension in space to be a fundamental property of physical things. This means that when Spinoza calls either substance or a mode “an Extended thing”, he does not mean that it is a thing extended in three dimensions. The argument proceeds by showing, first, that Spinoza does not associate extension in space with substance, and second, that finite bodies, or physical things, are not understood through the intellect when they are conceived as extended in space. I conclude by articulating some suggestions about where we should go from here in trying to understand Spinoza’s account of the attribute of extension and of the physical world.",,,,,
Accuracy and the credence-belief connection,Richard Pettigrew,"Probabilism says an agent is rational only if her credences are probabilistic. This paper is concerned with the so-called Accuracy Dominance Argument for Probabilism. This argument begins with the claim that the sole fundamental source of epistemic value for a credence is its accuracy. It then shows that, however we measure accuracy, any non-probabilistic credences are accuracy-dominated: that is, there are alternative credences that are guaranteed to be more accurate than them. It follows that non-probabilistic credences are irrational. In this paper, I identify and explore a lacuna in this argument. I grant that, if the only doxastic attitudes are credal attitudes, the argument succeeds. But many philosophers say that, alongside credences, there are other doxastic attitudes, such as full beliefs. What's more, those philosophers typically claim, these other doxastic attitudes are closely connected to credences, either as a matter of necessity or normatively. Now, since full beliefs are also doxastic attitudes, it seems that, like credences, the sole source of epistemic value for them is their accuracy. Thus, if we wish to measure the epistemic value of an agent's total doxastic state, we must include not only the accuracy of her credences, but also the accuracy of her full beliefs. However, if this is the case, there is a problem for the Accuracy Dominance Argument for Probabilism. For all the argument says, there might be non-probabilistic credences such that there is no total doxastic state that accuracy-dominates the total doxastic state to which those credences belong.",,,,,
Immunity and Self-Awareness,Max Seeger,"Three pathologies of alienation (thought insertion, anarchic hand syndrome, and somatoparaphrenia) have been claimed to refute the philosophical thesis that introspection-based self-ascriptions of mental states are immune to error through misidentification. In this paper, I show that this critique of the Immunity Thesis is misguided; the cases of alienation either are not self-ascriptions or do not involve misidentification. Rather, these cases undermine a widely assumed explanation of immunity, which is based on the idea that self-ascriptions of mental states are identification-free. I argue that, given a certain understanding of the Immunity Thesis, identification-freedom does not explain immunity anyhow, and I offer an alternative explanation, one which posits a tight link between first-personal awareness and ownership of a mental state.",,,,,
Who’s Afraid of Double Affection?,Nicholas F. Stang,"There is substantial textual evidence that Kant held the doctrine of double affection: subjects are causally affected both by things in themselves and by appearances. However, Kant commentators have been loath to attribute this view to him, for the doctrine of double affection is widely thought to face insuperable problems. I begin by explaining what I take to be the most serious problem faced by the doctrine of double affection: appearances cannot cause the very experience in virtue of which they have their empirical properties. My solution consists in distinguishing the sense of ‘experience’ in which empirical objects cause experience from the sense of ‘experience’ in which experience determines empirical objects. I call the latter “universal experience”. I develop my conception of universal experience, and then I explain how it solves the problem of double affection. I conclude by addressing several objections.",,,,,
Recombination and Paradox,Gabriel Uzquiano,"The doctrine that whatever could exist does exist leads to a proliferation of possibly concrete objects given certain principles of recombination. If, for example, there could have been a large infinite number of concrete objects, then there is at least the same number of possibly concrete objects in existence. And further cardinality considerations point to a tension between the preceding doctrine and the Cantorian conception of the absolutely infinite. This paper develops a parallel problem for a variety of possible worlds accounts of modality which eschew the commitment to a plethora of possibly concrete objects. Moreover, the difficulty is importantly different from more familiar threats of paradox exemplified by certain descendants of Russell's paradox of propositions and Kaplan's paradox.",,,,,
Tolerance as Civility,David Owens,"The question of toleration, of whether we should express disapproval at wrongdoing, is distinguished from the question of accommodation, of whether we should interfere with such wrongdoing. Liberal doctrines of accommodation invoke the value of autonomy. A doctrine of toleration is proposed that is based instead on the value of civility, on the (non-instrumental) value of suppressing the public expression of disapproval. Civility is of value within various relationships, a point illustrated by an examination of friendship. This doctrine of tolerance as civility is needed to explain practices of toleration among illiberal peoples and it suggests a way of extending such practices to others who do not value personal autonomy.",,,,,
Generics in Context,Rachel Katharine Sterken,"This paper has two central goals. The first is to argue for the metaphysical thesis that there is no such phenomenon as genericity, i.e., to argue for a form of eliminativism about genericity. The second is to defend a novel theory of generic sentences on which the unpronounced quantifier expression Gen is an indexical. An important feature of the view is that much of what has appeared to be semantic work is moved into the metasemantics. Rather than create very complex semantic clauses (or construe other complex notions as constitutive of genericity), the proposal is that those complexities are best dealt with in a metasemantic theory. Many of the puzzles which plague theories of generics are treated as instances of more general puzzles having to do with metasemantics and implicit, context-sensitive communication.",,,,,
The Absence of Reference in Hobbes’ Philosophy of Language,Arash Abizadeh,"Against the dominant view in contemporary Hobbes scholarship, I argue that Hobbes’ philosophy of language implicitly denies that linguistic expressions (names) refer to anything. I defend this thesis both textually, in light of what Hobbes actually said, and contextually, in light of Hobbes’ desertion of the vocabulary of suppositio, which was prevalent in semantics leading up to Hobbes. Hobbes explained away the apparent fact of linguistic reference via a reductive analysis: the relation between words and things wholly reduces to a composite of the relation of signification between words and conceptions on the one hand, and the relation of representation between conceptions and things on the other. Intentionality, for Hobbes, accrues to conceptions, not words.",,,,,
Prospects for an Expressivist Theory of Meaning,Nate Charlow,"Advocates of Expressivism about basically any kind of language are best-served by abandoning a traditional content-centric approach to semantic theorizing, in favor of an update-centric or dynamic approach (or so this paper argues). The type of dynamic approach developed here — in contrast to the content-centric approach — is argued to yield canonical, if not strictly classical, ""explanations"" of the core semantic properties of the connectives. (The cases on which I focus most here are negation and disjunction.) I end the paper by describing a distinctive sense in which mental states might play a fundamental role in the practice of semantic theorizing (as I understand it), and I connect this to a distinctive account of the pragmatic function of, e.g., a normatively laden claim in discourse.",,,,,
